Data	Estacao	Turno	TempoEsp	TempExt	URExt	EntExt	NumAves	NumMort	Morte	TotalAves
02/01/2006	verao	noite	01:58:00	20.3	94	64	8	5	0.136	3672
02/01/2006	verao	noite	02:55:00	20.3	94	64	8	3	0.085	3527
02/01/2006	verao	noite	02:18:00	20.3	94	64	8	4	0.109	3672
02/01/2006	verao	noite	02:27:00	20.3	94	64	8	3	0.082	3672
02/01/2006	verao	noite	04:09:00	20.3	94	64	9	3	0.073	4131
02/01/2006	verao	noite	02:09:00	20.3	94	64	8	2	0.058	3456
02/01/2006	verao	noite	04:15:00	20.3	94	64	9	4	0.091	4374
02/01/2006	verao	noite	04:24:00	20.3	94	64	9	3	0.073	4131
02/01/2006	verao	noite	01:57:00	20.3	94	64	8	4	0.103	3888
02/01/2006	verao	noite	01:15:00	20.3	94	64	8	2	0.057	3536
02/01/2006	verao	noite	03:29:00	20.3	94	64	8	2	0.052	3880
02/01/2006	verao	noite	03:46:00	20.3	94	64	9	6	0.137	4374
02/01/2006	verao	manha	01:23:00	19.5	95	63	7	2	0.059	3402
02/01/2006	verao	manha	03:06:00	19.5	95	63	6	5	0.200	2496
02/01/2006	verao	manha	02:58:00	19.5	95	63	8	0	0.000	3888
02/01/2006	verao	manha	04:20:00	19.5	95	63	7	3	0.088	3402
02/01/2006	verao	manha	03:35:00	19.5	95	63	7	2	0.059	3402
02/01/2006	verao	manha	02:21:00	19.5	95	63	7	10	0.334	2996
02/01/2006	verao	manha	01:45:00	19.5	95	63	7	1	0.031	3213
02/01/2006	verao	manha	01:58:00	19.5	95	63	7	2	0.062	3213
02/01/2006	verao	manha	01:49:00	19.5	95	63	7	7	0.218	3213
02/01/2006	verao	tarde	01:31:00	23.1	86	68	7	5	0.147	3402
02/01/2006	verao	tarde	01:42:00	23.1	86	68	7	7	0.206	3402
02/01/2006	verao	tarde	01:30:00	23.1	86	68	7	5	0.156	3213
02/01/2006	verao	tarde	01:20:00	23.1	86	68	7	6	0.200	2998
02/01/2006	verao	tarde	01:34:00	23.1	86	68	7	1	0.029	3402
02/01/2006	verao	tarde	02:14:00	23.1	86	68	7	6	0.187	3213
02/01/2006	verao	tarde	02:28:00	23.1	86	68	6	5	0.182	2754
02/01/2006	verao	tarde	00:48:00	23.1	86	68	7	7	0.251	2794
02/01/2006	verao	tarde	01:18:00	23.1	86	68	7	5	0.156	3213
02/01/2006	verao	tarde	01:50:00	23.1	86	68	8	3	0.085	3523
02/01/2006	verao	tarde	01:48:00	23.1	86	68	7	7	0.206	3402
02/01/2006	verao	tarde	02:12:00	23.1	86	68	7	9	0.280	3213
02/01/2006	verao	tarde	02:20:00	23.1	86	68	6	1	0.035	2892
02/01/2006	verao	tarde	02:08:00	23.1	86	68	7	4	0.141	2835
02/01/2006	verao	tarde	02:00:00	23.1	86	68	8	4	0.109	3672
02/01/2006	verao	tarde	03:55:00	23.1	86	68	7	7	0.206	3402
02/01/2006	verao	tarde	04:35:00	23.1	86	68	7	9	0.298	3017
02/01/2006	verao	noite	04:36:00	20.3	94	64	8	31	0.797	3888
02/01/2006	verao	noite	05:00:00	20.3	94	64	8	33	0.899	3672
02/01/2006	verao	noite	01:17:00	20.3	94	64	7	6	0.176	3402
02/01/2006	verao	noite	08:50:00	20.3	94	64	8	1	0.026	3888
02/01/2006	verao	noite	08:05:00	20.3	94	64	7	5	0.147	3402
02/01/2006	verao	noite	08:35:00	20.3	94	64	7	8	0.235	3402
02/01/2006	verao	noite	07:52:00	20.3	94	64	8	45	1.225	3672
02/01/2006	verao	noite	07:57:00	20.3	94	64	7	6	0.187	3213
02/01/2006	verao	noite	08:00:00	20.3	94	64	8	4	0.123	3256
02/01/2006	verao	noite	07:58:00	20.3	94	64	7	3	0.088	3402
02/01/2006	verao	noite	07:19:00	20.3	94	64	6	2	0.081	2466
03/01/2006	verao	noite	06:07:00	20.3	94	64	8	5	0.136	3672
03/01/2006	verao	noite	06:16:00	20.3	94	64	8	6	0.154	3888
03/01/2006	verao	noite	02:14:00	20.3	94	64	8	14	0.381	3672
03/01/2006	verao	manha	02:17:00	21.0	93	65	8	4	0.107	3752
03/01/2006	verao	manha	01:26:00	21.0	93	65	7	4	0.134	2989
03/01/2006	verao	manha	01:02:00	21.0	93	65	6	2	0.073	2754
03/01/2006	verao	manha	01:19:00	21.0	93	65	8	3	0.077	3888
03/01/2006	verao	manha	01:01:00	21.0	93	65	7	3	0.088	3402
03/01/2006	verao	manha	01:17:00	21.0	93	65	7	2	0.062	3213
03/01/2006	verao	manha	01:25:00	21.0	93	65	7	4	0.132	3024
03/01/2006	verao	manha	04:27:00	21.0	93	65	6	3	0.103	2916
03/01/2006	verao	manha	04:32:00	21.0	93	65	7	2	0.062	3213
03/01/2006	verao	manha	04:48:00	21.0	93	65	7	13	0.383	3395
03/01/2006	verao	manha	04:26:00	21.0	93	65	6	7	0.240	2916
03/01/2006	verao	manha	01:08:00	21.0	93	65	6	18	0.654	2754
03/01/2006	verao	manha	04:18:00	21.0	93	65	6	5	0.171	2916
03/01/2006	verao	manha	04:02:00	21.0	93	65	7	4	0.126	3169
03/01/2006	verao	manha	01:48:00	21.0	93	65	6	4	0.156	2568
03/01/2006	verao	manha	01:23:00	21.0	93	65	6	3	0.109	2754
03/01/2006	verao	manha	04:02:00	21.0	93	65	6	21	0.720	2916
03/01/2006	verao	tarde	03:10:00	25.2	84	72	6	6	0.218	2754
03/01/2006	verao	tarde	03:01:00	25.2	84	72	6	15	0.545	2754
03/01/2006	verao	tarde	01:45:00	25.2	84	72	6	9	0.309	2916
03/01/2006	verao	tarde	01:59:00	25.2	84	72	6	6	0.218	2754
03/01/2006	verao	tarde	02:27:00	25.2	84	72	6	12	0.436	2754
03/01/2006	verao	tarde	02:40:00	25.2	84	72	6	7	0.254	2754
03/01/2006	verao	tarde	03:31:00	25.2	84	72	6	6	0.218	2754
03/01/2006	verao	tarde	03:37:00	25.2	84	72	6	22	0.849	2592
03/01/2006	verao	tarde	03:37:00	25.2	84	72	6	17	0.583	2916
03/01/2006	verao	tarde	03:42:00	25.2	84	72	8	6	0.163	3672
03/01/2006	verao	noite	03:03:00	19.2	95	62	6	7	0.240	2916
03/01/2006	verao	noite	03:37:00	19.2	95	62	6	10	0.363	2754
03/01/2006	verao	noite	03:31:00	19.2	95	62	7	4	0.118	3402
03/01/2006	verao	noite	04:10:00	19.2	95	62	8	13	0.334	3888
03/01/2006	verao	noite	04:01:00	19.2	95	62	6	18	0.701	2568
03/01/2006	verao	noite	01:57:00	19.2	95	62	8	6	0.183	3286
03/01/2006	verao	noite	03:03:00	19.2	95	62	8	9	0.253	3559
03/01/2006	verao	noite	01:31:00	19.2	95	62	8	4	0.109	3672
03/01/2006	verao	noite	02:10:00	19.2	95	62	8	8	0.211	3800
03/01/2006	verao	noite	01:38:00	19.2	95	62	7	7	0.218	3213
03/01/2006	verao	noite	01:18:00	19.2	95	62	7	7	0.206	3402
04/01/2006	verao	noite	07:33:00	19.2	95	62	7	5	0.156	3213
04/01/2006	verao	noite	02:47:00	19.2	95	62	7	6	0.187	3213
04/01/2006	verao	noite	02:30:00	19.2	95	62	7	6	0.198	3024
04/01/2006	verao	noite	03:16:00	19.2	95	62	9	6	0.137	4374
04/01/2006	verao	noite	02:10:00	19.2	95	62	7	3	0.093	3213
04/01/2006	verao	noite	03:06:00	19.2	95	62	9	5	0.114	4374
04/01/2006	verao	noite	01:55:00	19.2	95	62	7	3	0.093	3213
04/01/2006	verao	noite	00:41:00	19.2	95	62	7	3	0.093	3213
04/01/2006	verao	noite	01:31:00	19.2	95	62	9	5	0.114	4374
04/01/2006	verao	manha	00:31:00	18.7	95	61	8	6	0.163	3672
04/01/2006	verao	manha	00:49:00	18.7	95	61	7	2	0.059	3402
04/01/2006	verao	manha	00:35:00	18.7	95	61	8	4	0.109	3672
04/01/2006	verao	manha	01:02:00	18.7	95	61	7	4	0.124	3213
04/01/2006	verao	manha	00:27:00	18.7	95	61	6	5	0.182	2754
04/01/2006	verao	manha	00:38:00	18.7	95	61	7	4	0.132	3024
